{100, 0.54}
{600, 0.345}
{1100, 0.474545}
{1600, 0.46125}
{2100, 0.488571}
{2600, 0.488077}
{3100, 0.470323}
{3600, 0.42}
{4100, 0.480732}
{4600, 0.430435}
{5100, 0.460588}
{5600, 0.4275}
{6100, 0.448525}
{6600, 0.433636}
{7100, 0.441127}
{7600, 0.423947}
{8100, 0.503333}
{8600, 0.486628}
{9100, 0.432198}
{9600, 0.444375}
{10100, 0.410792}
{10600, 0.434717}
{11100, 0.471081}
{11600, 0.419741}
{12100, 0.435124}
{12600, 0.415714}
{13100, 0.425267}
{13600, 0.460588}
{14100, 0.437234}
{14600, 0.45}
{15100, 0.439272}
{15600, 0.437885}
{16100, 0.417019}
{16600, 0.441325}
{17100, 0.457895}
{17600, 0.434659}
{18100, 0.443536}
{18600, 0.44129}
{19100, 0.440576}
{19600, 0.454133}
{20100, 0.419552}
{20600, 0.42335}
{21100, 0.430806}
{21600, 0.4225}
{22100, 0.46181}
{22600, 0.441239}
{23100, 0.475714}
{23600, 0.45572}
{24100, 0.451494}
{24600, 0.440122}
{25100, 0.453586}
{25600, 0.447891}
{26100, 0.440345}
{26600, 0.458797}
{27100, 0.437048}
{27600, 0.439891}
{28100, 0.465053}
{28600, 0.464476}
{29100, 0.465155}
{29600, 0.444527}
{30100, 0.434452}
{30600, 0.475294}
{31100, 0.432058}
{31600, 0.442025}
{32100, 0.438505}
{32600, 0.43316}
{33100, 0.432326}
{33600, 0.444107}
{34100, 0.45607}
{34600, 0.443237}
{35100, 0.439744}
{35600, 0.438876}
{36100, 0.448753}
{36600, 0.433279}
{37100, 0.468194}
{37600, 0.425346}
{38100, 0.443622}
{38600, 0.428083}
{39100, 0.454143}
{39600, 0.455909}
{40100, 0.460998}
{40600, 0.439581}
{41100, 0.447591}
{41600, 0.428798}
{42100, 0.43076}
{42600, 0.432676}
{43100, 0.439559}
{43600, 0.451651}
{44100, 0.436327}
{44600, 0.441323}
{45100, 0.442217}
{45600, 0.445263}
{46100, 0.443948}
{46600, 0.468541}
{47100, 0.449618}
{47600, 0.446786}
{48100, 0.453368}
{48600, 0.447963}
{49100, 0.443585}
{49600, 0.460161}
{50100, 0.436707}
{50600, 0.457826}
{51100, 0.43362}
{51600, 0.440058}
{52100, 0.438426}
{52600, 0.446407}
{53100, 0.470508}
{53600, 0.441101}
{54100, 0.448503}
{54600, 0.457582}
{55100, 0.44853}
{55600, 0.44045}
{56100, 0.442139}
{56600, 0.439346}
{57100, 0.438809}
{57600, 0.4425}
{58100, 0.446437}
{58600, 0.445853}
{59100, 0.438579}
{59600, 0.445621}
{60100, 0.438469}
{60600, 0.452079}
{61100, 0.442193}
{61600, 0.447516}
{62100, 0.441884}
{62600, 0.437923}
{63100, 0.436593}
{63600, 0.43316}
{64100, 0.444103}
{64600, 0.428684}
{65100, 0.422627}
{65600, 0.441768}
{66100, 0.424539}
{66600, 0.445}
{67100, 0.450671}
{67600, 0.437885}
{68100, 0.443392}
{68600, 0.44895}
{69100, 0.4289}
{69600, 0.447543}
{70100, 0.452568}
{70600, 0.446431}
{71100, 0.441013}
{71600, 0.449246}
{72100, 0.430652}
{72600, 0.428926}
{73100, 0.459357}
{73600, 0.449878}
{74100, 0.446235}
{74600, 0.439745}
{75100, 0.445806}
{75600, 0.430357}
{76100, 0.445269}
{76600, 0.4547}
{77100, 0.442062}
{77600, 0.448144}
{78100, 0.443662}
{78600, 0.435229}
{79100, 0.438053}
{79600, 0.449548}
{80100, 0.451461}
{80600, 0.445645}
{81100, 0.439014}
{81600, 0.45375}
{82100, 0.442984}
{82600, 0.435835}
{83100, 0.444693}
{83600, 0.44494}
{84100, 0.456314}
{84600, 0.443723}
{85100, 0.433608}
{85600, 0.438224}
{86100, 0.449582}
{86600, 0.441998}
{87100, 0.44349}
{87600, 0.450514}
{88100, 0.448059}
{88600, 0.444108}
{89100, 0.446566}
{89600, 0.45}
{90100, 0.451398}
{90600, 0.451788}
{91100, 0.44427}
{91600, 0.446463}
{92100, 0.454104}
{92600, 0.436004}
{93100, 0.434146}
{93600, 0.4425}
{94100, 0.452391}
{94600, 0.428499}
{95100, 0.430315}
{95600, 0.438797}
{96100, 0.442508}
{96600, 0.441335}
{97100, 0.447683}
{97600, 0.424088}
{98100, 0.431101}
{98600, 0.442972}
{99100, 0.435288}
{99600, 0.442139}
