{100, 0.48}
{600, 0.451667}
{1100, 0.44}
{1600, 0.445625}
{2100, 0.444286}
{2600, 0.440385}
{3100, 0.459355}
{3600, 0.436944}
{4100, 0.447317}
{4600, 0.446087}
{5100, 0.439608}
{5600, 0.446607}
{6100, 0.45082}
{6600, 0.445455}
{7100, 0.448873}
{7600, 0.450658}
{8100, 0.44716}
{8600, 0.444186}
{9100, 0.440989}
{9600, 0.445417}
{10100, 0.43703}
{10600, 0.439151}
{11100, 0.446216}
{11600, 0.446983}
{12100, 0.440165}
{12600, 0.438175}
{13100, 0.442901}
{13600, 0.446176}
{14100, 0.437518}
{14600, 0.443493}
{15100, 0.443841}
{15600, 0.436282}
{16100, 0.440745}
{16600, 0.443614}
{17100, 0.444795}
{17600, 0.441534}
{18100, 0.445525}
{18600, 0.444946}
{19100, 0.446126}
{19600, 0.442194}
{20100, 0.44408}
{20600, 0.446068}
{21100, 0.448389}
{21600, 0.440463}
{22100, 0.446109}
{22600, 0.436283}
{23100, 0.447359}
{23600, 0.448602}
{24100, 0.448299}
{24600, 0.438902}
{25100, 0.444462}
{25600, 0.44625}
{26100, 0.442989}
{26600, 0.437782}
{27100, 0.445277}
{27600, 0.441377}
{28100, 0.442384}
{28600, 0.448951}
{29100, 0.446564}
{29600, 0.445946}
{30100, 0.443721}
{30600, 0.441765}
{31100, 0.444437}
{31600, 0.445348}
{32100, 0.446168}
{32600, 0.443221}
{33100, 0.442779}
{33600, 0.442083}
{34100, 0.442082}
{34600, 0.442688}
{35100, 0.438575}
{35600, 0.444579}
{36100, 0.442105}
{36600, 0.441749}
{37100, 0.445606}
{37600, 0.444628}
{38100, 0.44252}
{38600, 0.441943}
{39100, 0.444373}
{39600, 0.448889}
{40100, 0.445362}
{40600, 0.440788}
{41100, 0.444501}
{41600, 0.44012}
{42100, 0.44829}
{42600, 0.443498}
{43100, 0.442668}
{43600, 0.442087}
{44100, 0.444263}
{44600, 0.444417}
{45100, 0.445455}
{45600, 0.439803}
{46100, 0.445965}
{46600, 0.440021}
{47100, 0.446603}
{47600, 0.441597}
{48100, 0.444719}
{48600, 0.444527}
{49100, 0.448248}
{49600, 0.442802}
{50100, 0.44519}
{50600, 0.441047}
{51100, 0.439785}
{51600, 0.443159}
{52100, 0.43833}
{52600, 0.446312}
{53100, 0.440019}
{53600, 0.442836}
{54100, 0.44146}
{54600, 0.444341}
{55100, 0.442214}
{55600, 0.444982}
{56100, 0.442299}
{56600, 0.443357}
{57100, 0.443643}
{57600, 0.443576}
{58100, 0.442392}
{58600, 0.441741}
{59100, 0.442521}
{59600, 0.443221}
{60100, 0.441814}
{60600, 0.446815}
{61100, 0.444845}
{61600, 0.445568}
{62100, 0.44343}
{62600, 0.446518}
{63100, 0.443946}
{63600, 0.444324}
{64100, 0.443448}
{64600, 0.441548}
{65100, 0.44235}
{65600, 0.44125}
{66100, 0.443328}
{66600, 0.444775}
{67100, 0.442727}
{67600, 0.441494}
{68100, 0.44094}
{68600, 0.442959}
{69100, 0.447135}
{69600, 0.442284}
{70100, 0.443381}
{70600, 0.443754}
{71100, 0.442082}
{71600, 0.444232}
{72100, 0.443551}
{72600, 0.440854}
{73100, 0.442969}
{73600, 0.444783}
{74100, 0.443819}
{74600, 0.44067}
{75100, 0.44514}
{75600, 0.442963}
{76100, 0.442996}
{76600, 0.441371}
{77100, 0.442542}
{77600, 0.443711}
{78100, 0.443534}
{78600, 0.443779}
{79100, 0.441732}
{79600, 0.443518}
{80100, 0.441648}
{80600, 0.44268}
{81100, 0.44016}
{81600, 0.442328}
{82100, 0.444019}
{82600, 0.440508}
{83100, 0.445211}
{83600, 0.445084}
{84100, 0.443591}
{84600, 0.44247}
{85100, 0.441751}
{85600, 0.442558}
{86100, 0.441382}
{86600, 0.44224}
{87100, 0.440827}
{87600, 0.442329}
{88100, 0.444052}
{88600, 0.443059}
{89100, 0.444568}
{89600, 0.443025}
{90100, 0.443674}
{90600, 0.443278}
{91100, 0.441065}
{91600, 0.440349}
{92100, 0.44443}
{92600, 0.442473}
{93100, 0.443878}
{93600, 0.442062}
{94100, 0.443273}
{94600, 0.440687}
{95100, 0.442524}
{95600, 0.441433}
{96100, 0.443569}
{96600, 0.446139}
{97100, 0.441421}
{97600, 0.437982}
{98100, 0.44739}
{98600, 0.445132}
{99100, 0.439758}
{99600, 0.440643}
